# Daily average weather data retrieved from meteoblue
# https://www.meteoblue.com/en/historyplus
#
date,wave,period,wind
20010107T1300,0.3,4.2,14.7136545
20010107T1400,0.3,3.6,13.218561
20010107T1500,0.3,3.4,10.35873
20010107T1600,0.2,3.5,7.77138
20010107T1700,0.2,3.5,6.736942
20010107T1800,0.2,3.5,6.7530656
20010107T1900,0.2,3.5,6.3090186
20010107T2000,0.2,3.5,4.964953
20010107T2100,0.2,3.5,4.816712
20010107T2200,0.1,3.8,4.4570856
20010107T2300,0.1,3.7,5.680095
20010108T0000,0.1,3.7,6.285993
20010108T0100,0.1,3.6,7.000822
20010108T0200,0.1,3.6,7.7105002
20010108T0300,0.1,3.5,6.1460276
20010108T0400,0.1,3.5,4.5853724
20010108T0500,0.1,3.4,2.9125178
20010108T0600,0.1,3.3,2.3005786
20010108T0700,0.1,3,3.3305914
20010108T0800,0.1,2.7,2.8111815
20010108T0900,0.1,2.6,2.3005786
20010108T1000,0.1,2.8,3.0700634
20010108T1100,0.1,2.6,1.3463118
20010108T1200,0.1,2.5,2.4824765
20010108T1300,0.1,2.4,2.554447
20010108T1400,0.1,2.4,5.20032
20010108T1500,0.1,2.3,8.412025
20010108T1600,0.1,2.4,12.092848
20010108T1700,0.1,2.4,11.092171
20010108T1800,0.1,2.4,11.656293
20010108T1900,0.1,2.4,11.5028925
20010108T2000,0.1,2.5,11.702849
20010108T2100,0.1,2.5,12.092848
20010108T2200,0.1,2.4,9.031334
20010108T2300,0.1,2.4,8.100278
20010109T0000,0.1,2.4,6.4735055
20010109T0100,0.1,2.4,6.573532
20010109T0200,0.1,2.3,6.193034
20010109T0300,0.1,2.3,5.9053845
20010109T0400,0.1,2.4,6.8648705
20010109T0500,0.2,2.6,8.620603
20010109T0600,0.2,2.8,10.501232
20010109T0700,0.3,2.9,11.321834
20010109T0800,0.3,2.9,11.590799
20010109T0900,0.3,2.8,14.965272
20010109T1000,0.3,2.9,12.997314
20010109T1100,0.3,2.9,16.497675
20010109T1200,0.3,2.9,19.176321
20010109T1300,0.4,3,19.231064
20010109T1400,0.4,3.2,16.532797
20010109T1500,0.4,3.3,13.861129
20010109T1600,0.3,3.4,10.607706
20010109T1700,0.3,3.5,9.39336
20010109T1800,0.3,3.7,10.121543
20010109T1900,0.3,4,10.020758
20010109T2000,0.3,4.2,9.860298
20010109T2100,0.3,4.3,10.09285
20010109T2200,0.3,4.5,11.615793
20010109T2300,0.3,4.6,12.008618
20010110T0000,0.3,4.4,12.209201
20010110T0100,0.3,4.1,11.06927
20010110T0200,0.3,4.1,9.331408
20010110T0300,0.3,4.1,7.864121
20010110T0400,0.2,4.1,6.422909
20010110T0500,0.2,4,7.021504
20010110T0600,0.2,4,9.966346
20010110T0700,0.2,4.1,11.24795
20010110T0800,0.3,4.3,12.997314
20010110T0900,0.3,4.4,14.868062
20010110T1000,0.3,4.5,16.655134
20010110T1100,0.4,4.3,16.07025
20010110T1200,0.4,4.1,15.013639
20010110T1300,0.3,3.7,13.671531
20010110T1400,0.3,3.3,12.560447
20010110T1500,0.3,3.2,11.923794
20010110T1600,0.2,3.1,10.6520405
20010110T1700,0.2,3.1,9.727044
20010110T1800,0.2,3.1,8.364487
20010110T1900,0.2,3.1,7.3936915
20010110T2000,0.2,3.1,7.1290984
20010110T2100,0.2,3.2,7.314823
20010110T2200,0.2,3.3,8.416333
20010110T2300,0.2,3.2,9.404931
20010111T0000,0.2,3.1,10.060472
20010111T0100,0.2,3.1,10.217788
20010111T0200,0.2,3.1,9.801298
20010111T0300,0.2,3.1,9.404931
20010111T0400,0.2,3.1,8.429245
20010111T0500,0.2,3,7.827156
20010111T0600,0.2,3.4,11.411135
20010111T0700,0.2,3.5,12.432809
20010111T0800,0.3,3.6,13.368543
20010111T0900,0.3,3.7,14.4023905
20010111T1000,0.3,3.8,15.310116
20010111T1100,0.3,3.9,15.0642605
20010111T1200,0.3,3.9,15.174553
20010111T1300,0.3,3.9,15.700558
20010111T1400,0.3,3.3,14.273446
20010111T1500,0.3,3.2,11.957189
20010111T1600,0.2,3.2,10.082068
20010111T1700,0.2,3.3,8.820141
20010111T1800,0.2,3.4,8.450721
20010111T1900,0.2,3.5,8.082357
20010111T2000,0.2,3.5,8.68345
20010111T2100,0.2,3.6,8.553055
20010111T2200,0.2,3.8,8.962837
20010111T2300,0.2,3.8,8.364487
20010112T0000,0.2,3.8,7.919245
20010112T0100,0.2,3.7,6.795874
20010112T0200,0.2,3.7,5.2281294
20010112T0300,0.2,3.8,4.18874
20010112T0400,0.2,3.8,3.6225545
20010112T0500,0.2,3.8,2.8622983
20010112T0600,0.2,3.8,6.573532
20010112T0700,0.2,3.6,8.082357
20010112T0800,0.2,3.6,9.1112585
20010112T0900,0.2,3.8,10.770494
20010112T1000,0.2,4,12.209201
20010112T1100,0.2,4.1,13.551683
20010112T1200,0.3,4.2,14.341854
20010112T1300,0.3,4.1,15.025709
20010112T1400,0.3,3.6,14.7136545
20010112T1500,0.3,3.3,13.392927
20010112T1600,0.2,3.1,11.43969
20010112T1700,0.2,3.1,9.900657
20010112T1800,0.2,3.2,8.259818
20010112T1900,0.2,3.2,7.4083858
20010112T2000,0.2,3.3,7.154479
20010112T2100,0.2,3.3,6.7530656
20010112T2200,0.2,3.5,6.747696
20010112T2300,0.2,3.5,6.880694
20010113T0000,0.2,3.5,7.021504
20010113T0100,0.1,3.5,6.880694
20010113T0200,0.1,3.5,6.422909
20010113T0300,0.1,3.4,5.602987
20010113T0400,0.1,3.4,4.5853724
20010113T0500,0.1,3.4,3.046356
20010113T0600,0.1,3.4,5.8250356
